Id,Open,Close,High,Low,Volume,Date
2529,1208.55,1209.9,1213.3,1203.9,,05/20/15
2530,1225.8,1212.2,1225.8,1206.25,,05/19/15
2531,1224.25,1225.8,1232.35,1221.85,,05/18/15
2532,1221.52,1224.25,1226.35,1211.95,,05/15/15
2533,1215.47,1217.7,1227.2,1212.55,,05/14/15
2534,1193.6,1215.37,1218.75,1191.55,,05/13/15
2535,1184.1,1193.5,1196.3,1181.35,,05-12-2015
2536,1189.35,1184.2,1191.75,1179.55,,05-11-2015
2537,1184.4,1187.9,1193.45,1182.1,,05-08-2015
2538,1191.55,1184.8,1192.85,1179.45,,05-07-2015
2539,1193.65,1191.8,1197.65,1188.65,,05-06-2015
2540,1188.75,1193.33,1199.65,1186.15,,05-05-2015
2541,1180.1,1188.2,1192.85,1177.9,,05-04-2015
2542,1178.4,1178.4,1178.4,1178.4,,05-03-2015
2543,1184.65,1178.5,1185.2,1170.95,,05-01-2015
2544,1205.6,1186.5,1207.15,1177.6,,04/30/15
2545,1212.1,1209,1213.25,1201.91,,04/29/15
2546,1202.2,1212.1,1214.85,1199.45,,04/28/15
2547,1179.75,1202.1,1206.85,1178.75,,04/27/15
2548,1194.4,1179.65,1195.8,1175.45,,04/24/15
2549,1187.85,1194.05,1198.05,1184.65,,04/23/15
2550,1202.8,1187.25,1204.45,1186.15,,04/22/15
2551,1196.95,1202.68,1204.23,1193.85,,04/21/15
2552,1205.65,1191.1,1209,1190.25,,04/20/15
2553,1199,1204.65,1207.7,1197.5,,04/17/15
2554,1202.85,1198.5,1209.15,1195.33,,04/16/15
2555,1192.9,1202.05,1204.6,1189.15,,04/15/15
2556,1199.2,1192.55,1201.65,1184.2,,04/14/15
2557,1207.35,1198.85,1209.5,1197.38,,04/13/15
2558,1194.9,1208.05,1210.25,1193.55,,04-10-2015
2559,1203.2,1194.6,1203.5,1193.35,,04-09-2015
2560,1208.8,1202.8,1212.05,1198.18,,04-08-2015
2561,1214.9,1208.6,1215.85,1207.93,,04-07-2015
